#Procedure: <__main__.MeasureVNAPower>
#Parameters:
#	Attenuator: 0 dB
#	VNA Port: 1
#	Power Sensor Settling Time: 5.0e-01 s
#	Start Frequency: 1.3e+08 Hz
#	Frequency Step: 1e+08 Hz
#	Stop Frequency: 1.8e+10 Hz
#	VNA Power: -20 dBm
#Data:
Frequency,Power
130000000.0,-20.25
230000000.0,-21.5
330000000.0,-20.97
430000000.0,-20.81
530000000.0,-20.92
630000000.0,-21.06
730000000.0,-21.07
830000000.0,-21.09
930000000.0,-21.18
1030000000.0,-21.27
1130000000.0,-21.3
1230000000.0,-21.25
1330000000.0,-21.23
1430000000.0,-21.2
1530000000.0,-21.2
1630000000.0,-21.16
1730000000.0,-21.16
1830000000.0,-21.29
1930000000.0,-21.42
2030000000.0,-21.52
2130000000.0,-20.43
2230000000.0,-20.42
2330000000.0,-20.47
2430000000.0,-20.5
2530000000.0,-20.52
2630000000.0,-20.57
2730000000.0,-20.66
2830000000.0,-20.73
2930000000.0,-20.82
3030000000.0,-20.9
3130000000.0,-20.98
3230000000.0,-21.04
3330000000.0,-21.1
3430000000.0,-21.16
3530000000.0,-21.22
3630000000.0,-21.27
3730000000.0,-21.31
3830000000.0,-21.36
3930000000.0,-21.41
4030000000.0,-20.63
4130000000.0,-20.67
4230000000.0,-20.7
4330000000.0,-20.73
4430000000.0,-20.75
4530000000.0,-20.78
4630000000.0,-20.82
4730000000.0,-20.86
4830000000.0,-20.9
4930000000.0,-20.93
5030000000.0,-20.96
5130000000.0,-20.99
5230000000.0,-21.03
5330000000.0,-21.05
5430000000.0,-21.09
5530000000.0,-21.11
5630000000.0,-21.15
5730000000.0,-21.18
5830000000.0,-21.2
5930000000.0,-21.24
6030000000.0,-21.27
6130000000.0,-20.56
6230000000.0,-20.64
6330000000.0,-20.66
6430000000.0,-20.67
6530000000.0,-20.67
6630000000.0,-20.69
6730000000.0,-20.7
6830000000.0,-20.72
6930000000.0,-20.73
7030000000.0,-20.77
7130000000.0,-20.8
7230000000.0,-20.83
7330000000.0,-20.86
7430000000.0,-20.91
7530000000.0,-20.92
7630000000.0,-20.93
7730000000.0,-20.95
7830000000.0,-20.97
7930000000.0,-20.97
8030000000.0,-20.95
8130000000.0,-20.97
8230000000.0,-20.98
8330000000.0,-20.1
8430000000.0,-20.14
8530000000.0,-20.14
8630000000.0,-20.16
8730000000.0,-20.15
8830000000.0,-20.13
8930000000.0,-20.12
9030000000.0,-20.13
9130000000.0,-20.13
9230000000.0,-20.13
9330000000.0,-20.15
9430000000.0,-20.16
9530000000.0,-20.17
9630000000.0,-20.19
9730000000.0,-20.21
9830000000.0,-20.24
9930000000.0,-20.26
10030000000.0,-20.31
10130000000.0,-20.33
10230000000.0,-20.32
10330000000.0,-20.31
10430000000.0,-20.32
10530000000.0,-20.31
10630000000.0,-20.27
10730000000.0,-20.26
10830000000.0,-20.28
10930000000.0,-20.27
11030000000.0,-20.26
11130000000.0,-20.29
11230000000.0,-20.3
11330000000.0,-20.3
11430000000.0,-20.29
11530000000.0,-20.32
11630000000.0,-20.35
11730000000.0,-20.37
11830000000.0,-20.43
11930000000.0,-20.46
12030000000.0,-20.49
12130000000.0,-20.48
12230000000.0,-20.51
12330000000.0,-20.53
12430000000.0,-20.53
12530000000.0,-20.56
12630000000.0,-18.48
12730000000.0,-18.57
12830000000.0,-18.35
12930000000.0,-18.48
13030000000.0,-18.58
13130000000.0,-18.53
13230000000.0,-18.64
13330000000.0,-18.48
13430000000.0,-18.37
13530000000.0,-18.41
13630000000.0,-18.45
13730000000.0,-18.57
13830000000.0,-18.38
13930000000.0,-18.35
14030000000.0,-18.34
14130000000.0,-18.27
14230000000.0,-18.35
14330000000.0,-18.62
14430000000.0,-18.44
14530000000.0,-18.38
14630000000.0,-18.4
14730000000.0,-18.57
14830000000.0,-18.47
14930000000.0,-18.48
15030000000.0,-18.51
15130000000.0,-18.64
15230000000.0,-18.36
15330000000.0,-18.53
15430000000.0,-18.37
15530000000.0,-18.46
15630000000.0,-18.49
15730000000.0,-18.46
15830000000.0,-18.62
15930000000.0,-18.5
16030000000.0,-18.53
16130000000.0,-18.34
16230000000.0,-18.55
16330000000.0,-18.4
16430000000.0,-18.44
16530000000.0,-18.52
16630000000.0,-18.39
16730000000.0,-18.42
16830000000.0,-18.37
16930000000.0,-18.56
17030000000.0,-18.49
17130000000.0,-18.48
17230000000.0,-18.5
17330000000.0,-18.63
17430000000.0,-18.71
17530000000.0,-18.58
17630000000.0,-18.44
17730000000.0,-18.66
17830000000.0,-18.7
17930000000.0,-18.73
