%Frequency (Hz)	Switch Term Drift (dB)	Directivity Drift (dB)	Tracking Drift Mag (dB)	Tracking Drift Phase (°)	Symmetry Drift Mag (dB)	Symmetry Drift Phase (°)	Match Drift (dB)	Isolation Drift (dB)
2.6805e+09	-51.34	-51.34	0.19073	0.70057	0.1796	0.49077	-51.34	-120
2.6891e+09	-51.644	-51.644	0.2129	0.69206	0.20825	0.44643	-51.644	-120
2.6977e+09	-52.205	-52.205	0.22144	0.78183	0.20676	0.56251	-52.205	-120
2.7062e+09	-51.852	-51.852	0.20911	0.72319	0.19323	0.43814	-51.852	-120
2.7148e+09	-52.873	-52.873	0.20631	0.7394	0.1932	0.51382	-52.873	-120
2.7234e+09	-54.036	-54.036	0.20753	0.71129	0.19159	0.47309	-54.036	-120
2.732e+09	-55.706	-55.706	0.21769	0.67872	0.20374	0.43979	-55.706	-120
2.7406e+09	-54.749	-54.749	0.239	0.83244	0.22348	0.58735	-54.749	-120
2.7492e+09	-55.122	-55.122	0.22149	0.71502	0.21076	0.47012	-55.122	-120
2.7578e+09	-53.614	-53.614	0.2603	0.85859	0.24943	0.5891	-53.614	-120
2.7664e+09	-54.55	-54.55	0.2272	0.75287	0.21322	0.50061	-54.55	-120
2.775e+09	-52.904	-52.904	0.25721	0.86682	0.24063	0.59375	-52.904	-120
2.7835e+09	-53.662	-53.662	0.2511	0.84466	0.23701	0.61417	-53.662	-120
2.7921e+09	-53.141	-53.141	0.27439	0.92207	0.26144	0.67272	-53.141	-120
2.8007e+09	-52.403	-52.403	0.25493	0.89425	0.24549	0.66764	-52.403	-120
2.8093e+09	-51.989	-51.989	0.23613	0.73053	0.21664	0.49918	-51.989	-120
2.8179e+09	-51.798	-51.798	0.22762	0.75499	0.20897	0.52415	-51.798	-120
2.8265e+09	-52.031	-52.031	0.23963	0.77136	0.22493	0.52868	-52.031	-120
2.8351e+09	-52.618	-52.618	0.25121	0.80443	0.23328	0.55907	-52.618	-120
2.8436e+09	-53.839	-53.839	0.26152	0.857	0.25298	0.61268	-53.839	-120
2.8522e+09	-52.729	-52.729	0.25287	0.79353	0.23846	0.54312	-52.729	-120
2.8608e+09	-52.592	-52.592	0.24231	0.79664	0.22346	0.51778	-52.592	-120
2.8694e+09	-52.38	-52.38	0.26873	0.91138	0.25478	0.72044	-52.38	-120
2.878e+09	-52.517	-52.517	0.25734	0.88525	0.2384	0.66764	-52.517	-120
2.8866e+09	-53.435	-53.435	0.25048	0.7202	0.23604	0.51921	-53.435	-120
2.8952e+09	-53.874	-53.874	0.26209	0.94472	0.2513	0.70906	-53.874	-120
2.9038e+09	-54.443	-54.443	0.2509	0.87537	0.24039	0.69208	-54.443	-120
2.9124e+09	-55.235	-55.235	0.3006	0.95105	0.28104	0.76225	-55.235	-120
2.9209e+09	-56.76	-56.76	0.22593	0.77896	0.21299	0.54086	-56.76	-120
2.9295e+09	-56.374	-56.374	0.30362	1.0424	0.28632	0.82344	-56.374	-120
2.9381e+09	-56.652	-56.652	0.31895	1.0566	0.29297	0.83784	-56.652	-120
2.9467e+09	-55.949	-55.949	0.31226	1.0025	0.29633	0.82478	-55.949	-120
2.9553e+09	-55.767	-55.767	0.23155	0.86166	0.22148	0.61422	-55.767	-120
2.9639e+09	-55.904	-55.904	0.22792	0.83499	0.21529	0.60387	-55.904	-120
2.9725e+09	-55.161	-55.161	0.23009	0.79383	0.21296	0.59076	-55.161	-120
2.981e+09	-54.355	-54.355	0.20963	0.71783	0.19308	0.5226	-54.355	-120
2.9896e+09	-53.533	-53.533	0.23272	0.66671	0.2174	0.47834	-53.533	-120
2.9982e+09	-54.304	-54.304	0.26667	0.91264	0.24977	0.66388	-54.304	-120
3.0068e+09	-54.06	-54.06	0.24508	0.81263	0.23424	0.5748	-54.06	-120
3.0154e+09	-54.789	-54.789	0.24598	0.79265	0.22754	0.52087	-54.789	-120
3.024e+09	-55.647	-55.647	0.25833	0.84087	0.24746	0.61675	-55.647	-120
3.0326e+09	-54.918	-54.918	0.3177	0.94339	0.30866	0.6877	-54.918	-120
3.0412e+09	-53.338	-53.338	0.26539	0.89015	0.25014	0.64084	-53.338	-120
3.0498e+09	-52.396	-52.396	0.22811	0.72741	0.2141	0.48582	-52.396	-120
3.0583e+09	-51.374	-51.374	0.26554	0.80859	0.25313	0.54895	-51.374	-120
3.0669e+09	-51.63	-51.63	0.26945	0.86939	0.25442	0.60213	-51.63	-120
3.0755e+09	-51.973	-51.973	0.26337	0.83419	0.2491	0.5777	-51.973	-120
3.0841e+09	-51.797	-51.797	0.29096	0.85915	0.27819	0.60632	-51.797	-120
3.0927e+09	-52.87	-52.87	0.28142	0.89085	0.27257	0.6686	-52.87	-120
3.1013e+09	-52.749	-52.749	0.27762	0.94226	0.25977	0.70087	-52.749	-120
3.1099e+09	-52.266	-52.266	0.26688	0.8102	0.2493	0.53248	-52.266	-120
3.1184e+09	-52.591	-52.591	0.26295	0.83196	0.24784	0.59013	-52.591	-120
3.127e+09	-52.185	-52.185	0.18471	0.70903	0.16632	0.46296	-52.185	-120
3.1356e+09	-51.616	-51.616	0.20076	0.66549	0.18569	0.45622	-51.616	-120
3.1442e+09	-50.825	-50.825	0.19277	0.72794	0.18395	0.46039	-50.825	-120
3.1528e+09	-49.669	-49.669	0.2348	0.77668	0.22383	0.53684	-49.669	-120
3.1614e+09	-48.891	-48.891	0.25354	0.76403	0.23851	0.46797	-48.891	-120
3.17e+09	-49.072	-49.072	0.24269	0.74795	0.23271	0.49724	-49.072	-120
3.1786e+09	-49.216	-49.216	0.23943	0.77814	0.21986	0.52102	-49.216	-120
3.1872e+09	-49.376	-49.376	0.23335	0.80357	0.22405	0.59326	-49.376	-120
3.1957e+09	-49.194	-49.194	0.2388	0.78439	0.22589	0.54201	-49.194	-120
3.2043e+09	-50.039	-50.039	0.22023	0.66549	0.20975	0.42126	-50.039	-120
3.2129e+09	-50.543	-50.543	0.22868	0.80271	0.21234	0.57008	-50.543	-120
3.2215e+09	-52.369	-52.369	0.21002	0.71043	0.19761	0.48676	-52.369	-120
3.2301e+09	-52.058	-52.058	0.23216	0.77903	0.21343	0.50775	-52.058	-120
3.2387e+09	-51.977	-51.977	0.24221	0.70712	0.22466	0.44005	-51.977	-120
3.2473e+09	-51.534	-51.534	0.22922	0.75829	0.22403	0.52622	-51.534	-120
3.2558e+09	-51.579	-51.579	0.18505	0.63172	0.16806	0.46427	-51.579	-120
3.2644e+09	-51.972	-51.972	0.15849	0.69254	0.14547	0.48128	-51.972	-120
3.273e+09	-52.448	-52.448	0.17033	0.71926	0.15178	0.55422	-52.448	-120
3.2816e+09	-52.769	-52.769	0.18419	0.66675	0.17148	0.46889	-52.769	-120
3.2902e+09	-52.592	-52.592	0.20128	0.701	0.18524	0.4914	-52.592	-120
3.2988e+09	-52.935	-52.935	0.19502	0.65058	0.18177	0.42283	-52.935	-120
3.3074e+09	-53.02	-53.02	0.19746	0.71743	0.18705	0.48398	-53.02	-120
3.316e+09	-53.173	-53.173	0.17455	0.69247	0.16052	0.46947	-53.173	-120
3.3246e+09	-52.956	-52.956	0.1914	0.67482	0.1767	0.44362	-52.956	-120
3.3331e+09	-53.509	-53.509	0.18342	0.62843	0.16548	0.40388	-53.509	-120
3.3417e+09	-54.703	-54.703	0.18133	0.65903	0.16808	0.42778	-54.703	-120
3.3503e+09	-55.812	-55.812	0.19514	0.67018	0.17897	0.42698	-55.812	-120
3.3589e+09	-55.754	-55.754	0.17408	0.71313	0.15568	0.4891	-55.754	-120
3.3675e+09	-55.085	-55.085	0.19258	0.70611	0.17474	0.49376	-55.085	-120
3.3761e+09	-53.547	-53.547	0.20872	0.71521	0.19506	0.49254	-53.547	-120
3.3847e+09	-50.76	-50.76	0.23607	0.78827	0.21911	0.55248	-50.76	-120
3.3932e+09	-49.743	-49.743	0.23298	0.79754	0.21855	0.55305	-49.743	-120
3.4018e+09	-48.675	-48.675	0.21919	0.79001	0.20564	0.53622	-48.675	-120
3.4104e+09	-48.524	-48.524	0.20097	0.74428	0.1899	0.52394	-48.524	-120
3.419e+09	-48.231	-48.231	0.19166	0.74035	0.17581	0.48449	-48.231	-120
3.4276e+09	-48.244	-48.244	0.17971	0.6441	0.16151	0.4143	-48.244	-120
3.4362e+09	-48.217	-48.217	0.20084	0.66183	0.18136	0.43304	-48.217	-120
3.4448e+09	-47.802	-47.802	0.23586	0.81686	0.21895	0.57118	-47.802	-120
3.4534e+09	-48.62	-48.62	0.23576	0.74917	0.21945	0.48949	-48.62	-120
3.462e+09	-49.855	-49.855	0.22551	0.79615	0.2045	0.55039	-49.855	-120
3.4705e+09	-49.893	-49.893	0.24113	0.77047	0.22437	0.54149	-49.893	-120
3.4791e+09	-49.895	-49.895	0.2128	0.70432	0.19475	0.44029	-49.895	-120
3.4877e+09	-50.044	-50.044	0.23513	0.78212	0.21824	0.52077	-50.044	-120
3.4963e+09	-50.458	-50.458	0.2076	0.7825	0.1883	0.555	-50.458	-120
3.5049e+09	-50.481	-50.481	0.20461	0.71326	0.19134	0.52101	-50.481	-120
3.5135e+09	-51.224	-51.224	0.21349	0.72021	0.20027	0.46651	-51.224	-120
3.5221e+09	-52.488	-52.488	0.19963	0.69287	0.18984	0.47095	-52.488	-120
3.5306e+09	-51.51	-51.51	0.21296	0.78132	0.19993	0.52273	-51.51	-120
3.5392e+09	-50.182	-50.182	0.19586	0.72509	0.1757	0.46545	-50.182	-120
3.5478e+09	-48.486	-48.486	0.20725	0.81371	0.19195	0.5587	-48.486	-120
3.5564e+09	-47.686	-47.686	0.19279	0.6587	0.17371	0.48608	-47.686	-120
3.565e+09	-47.546	-47.546	0.20206	0.64605	0.18257	0.4169	-47.546	-120
3.5736e+09	-47.363	-47.363	0.22914	0.75439	0.21525	0.52044	-47.363	-120
3.5822e+09	-47.76	-47.76	0.21653	0.7445	0.20306	0.47302	-47.76	-120
3.5908e+09	-47.904	-47.904	0.22149	0.78817	0.20253	0.56649	-47.904	-120
3.5994e+09	-49.324	-49.324	0.22496	0.81066	0.2137	0.60525	-49.324	-120
3.6079e+09	-51.38	-51.38	0.20146	0.64464	0.17986	0.43553	-51.38	-120
3.6165e+09	-52.039	-52.039	0.23608	0.72553	0.22269	0.51363	-52.039	-120
3.6251e+09	-52.552	-52.552	0.23565	0.74744	0.21811	0.50899	-52.552	-120
3.6337e+09	-53.439	-53.439	0.22353	0.81281	0.21504	0.54268	-53.439	-120
3.6423e+09	-54.257	-54.257	0.21092	0.73243	0.19996	0.51686	-54.257	-120
3.6509e+09	-55.026	-55.026	0.205	0.67079	0.1922	0.44497	-55.026	-120
3.6595e+09	-53.905	-53.905	0.19406	0.70836	0.17862	0.44021	-53.905	-120
3.668e+09	-52.467	-52.467	0.15664	0.63038	0.14457	0.38742	-52.467	-120
3.6766e+09	-49.886	-49.886	0.20113	0.73707	0.18094	0.49487	-49.886	-120
3.6852e+09	-49.309	-49.309	0.1957	0.69405	0.17833	0.47279	-49.309	-120
3.6938e+09	-48.735	-48.735	0.20741	0.65299	0.19521	0.41032	-48.735	-120
3.7024e+09	-48.775	-48.775	0.19752	0.71889	0.18446	0.44292	-48.775	-120
3.711e+09	-48.985	-48.985	0.20118	0.66423	0.1842	0.42519	-48.985	-120
3.7196e+09	-49.495	-49.495	0.19541	0.67858	0.17931	0.42963	-49.495	-120
3.7282e+09	-50.585	-50.585	0.18822	0.71717	0.17294	0.45678	-50.585	-120
3.7368e+09	-51.268	-51.268	0.18319	0.66438	0.17203	0.43998	-51.268	-120
3.7453e+09	-51.698	-51.698	0.18537	0.69214	0.17096	0.44167	-51.698	-120
3.7539e+09	-52.714	-52.714	0.19605	0.6602	0.18538	0.42639	-52.714	-120
3.7625e+09	-54.468	-54.468	0.1999	0.68363	0.18127	0.4513	-54.468	-120
3.7711e+09	-53.621	-53.621	0.17583	0.65099	0.16276	0.42458	-53.621	-120
3.7797e+09	-53.003	-53.003	0.17626	0.67936	0.15947	0.43071	-53.003	-120
3.7883e+09	-52.949	-52.949	0.17031	0.66018	0.1574	0.4141	-52.949	-120
3.7969e+09	-52.85	-52.85	0.18553	0.69671	0.17358	0.43981	-52.85	-120
3.8054e+09	-51.023	-51.023	0.20182	0.70587	0.1875	0.42552	-51.023	-120
3.814e+09	-49.931	-49.931	0.18189	0.64336	0.16414	0.45899	-49.931	-120
3.8226e+09	-49.501	-49.501	0.17558	0.71626	0.16439	0.47471	-49.501	-120
3.8312e+09	-49.142	-49.142	0.18284	0.63224	0.16949	0.39376	-49.142	-120
3.8398e+09	-49.029	-49.029	0.17709	0.77893	0.15978	0.4612	-49.029	-120
3.8484e+09	-48.895	-48.895	0.20157	0.69923	0.18697	0.48175	-48.895	-120
3.857e+09	-48.695	-48.695	0.18189	0.72632	0.16565	0.48061	-48.695	-120
3.8656e+09	-48.512	-48.512	0.18773	0.71775	0.1717	0.5073	-48.512	-120
3.8742e+09	-48.537	-48.537	0.17942	0.74532	0.16144	0.53748	-48.537	-120
3.8827e+09	-48.71	-48.71	0.18615	0.7433	0.16147	0.51485	-48.71	-120
3.8913e+09	-49.873	-49.873	0.20105	0.74463	0.18235	0.50028	-49.873	-120
3.8999e+09	-50.385	-50.385	0.19815	0.72772	0.17968	0.53511	-50.385	-120
3.9085e+09	-50.26	-50.26	0.17412	0.8284	0.1547	0.56389	-50.26	-120
3.9171e+09	-50.514	-50.514	0.18319	0.77025	0.16564	0.48513	-50.514	-120
3.9257e+09	-50.39	-50.39	0.18733	0.78563	0.16341	0.56999	-50.39	-120
3.9343e+09	-51.121	-51.121	0.18958	0.74424	0.17356	0.46615	-51.121	-120
3.9428e+09	-51.652	-51.652	0.1917	0.73799	0.18076	0.50942	-51.652	-120
3.9514e+09	-52.644	-52.644	0.17569	0.70842	0.16043	0.44524	-52.644	-120
3.96e+09	-51.715	-51.715	0.19128	0.67114	0.17287	0.48174	-51.715	-120
3.9686e+09	-50.703	-50.703	0.18178	0.61601	0.16443	0.42195	-50.703	-120
3.9772e+09	-49.428	-49.428	0.1688	0.66704	0.15462	0.44742	-49.428	-120
3.9858e+09	-48.381	-48.381	0.17507	0.7222	0.15197	0.4509	-48.381	-120
3.9944e+09	-47.656	-47.656	0.18712	0.67315	0.16842	0.46121	-47.656	-120
4.003e+09	-47.402	-47.402	0.20039	0.66536	0.18143	0.47381	-47.402	-120
4.0116e+09	-47.246	-47.246	0.20216	0.7548	0.17848	0.50888	-47.246	-120
4.0201e+09	-48.041	-48.041	0.19422	0.67952	0.17896	0.45485	-48.041	-120
4.0287e+09	-48	-48	0.19311	0.70195	0.17303	0.4595	-48	-120
4.0373e+09	-49.449	-49.449	0.18735	0.73383	0.17053	0.48766	-49.449	-120
4.0459e+09	-50.411	-50.411	0.19168	0.66327	0.17579	0.42003	-50.411	-120
4.0545e+09	-50.683	-50.683	0.20268	0.68997	0.1831	0.49628	-50.683	-120
4.0631e+09	-50.72	-50.72	0.22136	0.75814	0.20075	0.47266	-50.72	-120
4.0717e+09	-51.097	-51.097	0.1961	0.67706	0.17708	0.47792	-51.097	-120
4.0802e+09	-51.179	-51.179	0.20109	0.61529	0.18106	0.43215	-51.179	-120
4.0888e+09	-51.866	-51.866	0.20008	0.64405	0.17967	0.44936	-51.866	-120
4.0974e+09	-52.484	-52.484	0.23289	0.6996	0.2142	0.46168	-52.484	-120
4.106e+09	-52.475	-52.475	0.22945	0.73583	0.2092	0.45853	-52.475	-120
4.1146e+09	-51.733	-51.733	0.22527	0.73055	0.20551	0.45173	-51.733	-120
4.1232e+09	-50.943	-50.943	0.23024	0.69981	0.21804	0.43192	-50.943	-120
4.1318e+09	-50.59	-50.59	0.22727	0.67001	0.21406	0.49713	-50.59	-120
4.1404e+09	-51.144	-51.144	0.18279	0.63415	0.16791	0.43687	-51.144	-120
4.149e+09	-51.112	-51.112	0.18263	0.65286	0.16692	0.39301	-51.112	-120
4.1575e+09	-52.31	-52.31	0.17793	0.72682	0.16155	0.48633	-52.31	-120
4.1661e+09	-53.024	-53.024	0.18252	0.60359	0.16765	0.40143	-53.024	-120
4.1747e+09	-52.881	-52.881	0.1948	0.74234	0.18301	0.45199	-52.881	-120
4.1833e+09	-53.21	-53.21	0.21237	0.69107	0.19961	0.449	-53.21	-120
4.1919e+09	-52.839	-52.839	0.21067	0.71638	0.19609	0.48654	-52.839	-120
4.2005e+09	-53.08	-53.08	0.19982	0.71155	0.18624	0.44045	-53.08	-120
4.2091e+09	-52.753	-52.753	0.23476	0.72459	0.2161	0.41147	-52.753	-120
4.2176e+09	-52.705	-52.705	0.22108	0.72484	0.2019	0.43381	-52.705	-120
4.2262e+09	-52.187	-52.187	0.21621	0.74488	0.19439	0.4524	-52.187	-120
4.2348e+09	-51.029	-51.029	0.21326	0.71806	0.19367	0.53728	-51.029	-120
4.2434e+09	-49.784	-49.784	0.2066	0.6997	0.19001	0.4566	-49.784	-120
4.252e+09	-49.968	-49.968	0.21372	0.71897	0.19251	0.49015	-49.968	-120
4.2606e+09	-48.922	-48.922	0.21346	0.68966	0.19927	0.43759	-48.922	-120
4.2692e+09	-49.032	-49.032	0.22241	0.76721	0.20804	0.61468	-49.032	-120
4.2778e+09	-47.606	-47.606	0.21184	0.77958	0.1963	0.52499	-47.606	-120
4.2864e+09	-47.02	-47.02	0.20276	0.6771	0.18218	0.40457	-47.02	-120
4.2949e+09	-46.766	-46.766	0.215	0.66773	0.20006	0.38607	-46.766	-120
4.3035e+09	-46.766	-46.766	0.19412	0.78635	0.17909	0.58074	-46.766	-120
4.3121e+09	-47.294	-47.294	0.19913	0.65873	0.18914	0.43179	-47.294	-120
4.3207e+09	-47.261	-47.261	0.17986	0.72688	0.16194	0.47972	-47.261	-120
4.3293e+09	-47.64	-47.64	0.19373	0.64831	0.17231	0.45509	-47.64	-120
4.3379e+09	-48.692	-48.692	0.18222	0.64923	0.15698	0.42759	-48.692	-120
4.3465e+09	-49.417	-49.417	0.18782	0.7268	0.16507	0.48666	-49.417	-120
4.355e+09	-50.977	-50.977	0.19344	0.71149	0.17543	0.44178	-50.977	-120
4.3636e+09	-51.02	-51.02	0.19353	0.69744	0.17381	0.41672	-51.02	-120
4.3722e+09	-51.327	-51.327	0.20021	0.64818	0.18447	0.38071	-51.327	-120
4.3808e+09	-51.207	-51.207	0.18785	0.62944	0.16826	0.3901	-51.207	-120
4.3894e+09	-52.295	-52.295	0.19827	0.70256	0.18344	0.42214	-52.295	-120
4.398e+09	-52.887	-52.887	0.19004	0.67495	0.16863	0.43588	-52.887	-120
4.4066e+09	-52.848	-52.848	0.19028	0.66716	0.17824	0.42824	-52.848	-120
4.4152e+09	-51.031	-51.031	0.18946	0.68814	0.17374	0.45919	-51.031	-120
4.4238e+09	-49.851	-49.851	0.18437	0.6542	0.16822	0.43619	-49.851	-120
4.4323e+09	-49.387	-49.387	0.19009	0.61933	0.17157	0.38824	-49.387	-120
4.4409e+09	-48.693	-48.693	0.17806	0.6238	0.16304	0.39746	-48.693	-120
4.4495e+09	-48.842	-48.842	0.17768	0.66035	0.15836	0.41147	-48.842	-120
4.4581e+09	-49.404	-49.404	0.18528	0.70281	0.16495	0.43602	-49.404	-120
4.4667e+09	-50.09	-50.09	0.18317	0.67959	0.16353	0.38899	-50.09	-120
4.4753e+09	-51.707	-51.707	0.19911	0.57769	0.18063	0.36939	-51.707	-120
4.4839e+09	-52.531	-52.531	0.19016	0.70919	0.17453	0.5074	-52.531	-120
4.4924e+09	-52.94	-52.94	0.19456	0.63624	0.17528	0.38243	-52.94	-120
4.501e+09	-52.883	-52.883	0.18797	0.62341	0.171	0.36678	-52.883	-120
4.5096e+09	-53.34	-53.34	0.19479	0.66475	0.18072	0.45043	-53.34	-120
4.5182e+09	-52.131	-52.131	0.1804	0.69699	0.16657	0.46208	-52.131	-120
4.5268e+09	-50.597	-50.597	0.18035	0.66985	0.16161	0.4379	-50.597	-120
4.5354e+09	-49.014	-49.014	0.18163	0.63024	0.16771	0.40909	-49.014	-120
4.544e+09	-47.813	-47.813	0.18457	0.68064	0.1675	0.45989	-47.813	-120
4.5526e+09	-46.955	-46.955	0.18947	0.63792	0.16969	0.37554	-46.955	-120
4.5612e+09	-46.449	-46.449	0.18188	0.667	0.16705	0.41674	-46.449	-120
4.5697e+09	-46.135	-46.135	0.1791	0.66182	0.16268	0.42291	-46.135	-120
4.5783e+09	-46.558	-46.558	0.18327	0.63305	0.16191	0.4082	-46.558	-120
4.5869e+09	-47.038	-47.038	0.20484	0.64717	0.18458	0.39532	-47.038	-120
4.5955e+09	-47.411	-47.411	0.201	0.68963	0.1831	0.45449	-47.411	-120
4.6041e+09	-49.162	-49.162	0.19326	0.62117	0.17704	0.36777	-49.162	-120
4.6127e+09	-49.538	-49.538	0.19077	0.7127	0.17446	0.41943	-49.538	-120
4.6213e+09	-50.239	-50.239	0.19123	0.69736	0.17395	0.45053	-50.239	-120
4.6298e+09	-50.878	-50.878	0.18668	0.65237	0.16618	0.38894	-50.878	-120
4.6384e+09	-51.14	-51.14	0.23219	0.78928	0.20782	0.48022	-51.14	-120
4.647e+09	-52.732	-52.732	0.2131	0.62449	0.18765	0.43108	-52.732	-120
4.6556e+09	-52.001	-52.001	0.20349	0.71128	0.18899	0.50137	-52.001	-120
4.6642e+09	-50.617	-50.617	0.1902	0.68328	0.17546	0.40258	-50.617	-120
4.6728e+09	-48.396	-48.396	0.20431	0.65249	0.1809	0.42947	-48.396	-120
4.6814e+09	-47.345	-47.345	0.19875	0.66629	0.1847	0.50539	-47.345	-120
4.69e+09	-46.792	-46.792	0.20148	0.68395	0.19045	0.40157	-46.792	-120
4.6986e+09	-46.019	-46.019	0.20479	0.71729	0.18443	0.43979	-46.019	-120
4.7071e+09	-46.328	-46.328	0.19593	0.67186	0.17825	0.38681	-46.328	-120
4.7157e+09	-46.293	-46.293	0.19326	0.65342	0.17222	0.39745	-46.293	-120
4.7243e+09	-47.089	-47.089	0.2046	0.70762	0.18482	0.43771	-47.089	-120
4.7329e+09	-48.155	-48.155	0.19587	0.73477	0.17544	0.44477	-48.155	-120
4.7415e+09	-48.408	-48.408	0.20138	0.68393	0.18257	0.38607	-48.408	-120
4.7501e+09	-48.757	-48.757	0.19578	0.66016	0.17704	0.38099	-48.757	-120
4.7587e+09	-49.232	-49.232	0.20824	0.68818	0.18849	0.42058	-49.232	-120
4.7672e+09	-50.234	-50.234	0.19969	0.71056	0.18051	0.41128	-50.234	-120
4.7758e+09	-51.636	-51.636	0.20996	0.67875	0.19117	0.3915	-51.636	-120
4.7844e+09	-53.42	-53.42	0.19174	0.63746	0.17389	0.40575	-53.42	-120
4.793e+09	-52.884	-52.884	0.19655	0.69378	0.17588	0.47131	-52.884	-120
4.8016e+09	-51.093	-51.093	0.18087	0.63085	0.16127	0.38095	-51.093	-120
4.8102e+09	-49.659	-49.659	0.19425	0.71841	0.17242	0.38968	-49.659	-120
4.8188e+09	-48.879	-48.879	0.20179	0.67407	0.18234	0.39351	-48.879	-120
4.8274e+09	-48.304	-48.304	0.20379	0.65228	0.19018	0.31218	-48.304	-120
4.836e+09	-48.722	-48.722	0.17508	0.71138	0.15984	0.45954	-48.722	-120
4.8445e+09	-48.564	-48.564	0.21118	0.65481	0.19483	0.33346	-48.564	-120
4.8531e+09	-48.463	-48.463	0.20373	0.64249	0.17987	0.38751	-48.463	-120
4.8617e+09	-48.092	-48.092	0.21636	0.65765	0.19857	0.40307	-48.092	-120
4.8703e+09	-47.998	-47.998	0.20828	0.69995	0.18307	0.43587	-47.998	-120
4.8789e+09	-48.12	-48.12	0.19648	0.69633	0.17721	0.39298	-48.12	-120
4.8875e+09	-48.679	-48.679	0.18776	0.62848	0.16499	0.42643	-48.679	-120
4.8961e+09	-49.059	-49.059	0.1713	0.69886	0.15173	0.43094	-49.059	-120
4.9046e+09	-49.594	-49.594	0.17905	0.65659	0.15803	0.47181	-49.594	-120
4.9132e+09	-49.644	-49.644	0.20008	0.71333	0.17432	0.41517	-49.644	-120
4.9218e+09	-49.282	-49.282	0.18464	0.66199	0.16689	0.41011	-49.282	-120
4.9304e+09	-48.012	-48.012	0.19552	0.64411	0.17826	0.4013	-48.012	-120
4.939e+09	-46.898	-46.898	0.20517	0.77062	0.19136	0.51279	-46.898	-120
4.9476e+09	-46.3	-46.3	0.19098	0.70079	0.1699	0.49427	-46.3	-120
4.9562e+09	-46.106	-46.106	0.19573	0.71178	0.16982	0.5065	-46.106	-120
4.9648e+09	-45.934	-45.934	0.19103	0.71066	0.17382	0.49608	-45.934	-120
4.9734e+09	-46.173	-46.173	0.20657	0.64165	0.18734	0.40374	-46.173	-120
4.9819e+09	-46.991	-46.991	0.19986	0.64521	0.18116	0.44604	-46.991	-120
4.9905e+09	-47.22	-47.22	0.18161	0.64505	0.15971	0.46649	-47.22	-120
4.9991e+09	-47.641	-47.641	0.20328	0.66949	0.1787	0.44786	-47.641	-120
5.0077e+09	-48.167	-48.167	0.19272	0.66208	0.17213	0.43323	-48.167	-120
5.0163e+09	-49.1	-49.1	0.20763	0.6834	0.18993	0.4558	-49.1	-120
5.0249e+09	-49.608	-49.608	0.21156	0.63907	0.19315	0.46824	-49.608	-120
5.0335e+09	-50.565	-50.565	0.21093	0.6751	0.19446	0.49074	-50.565	-120
5.042e+09	-50.74	-50.74	0.20602	0.74273	0.18544	0.51342	-50.74	-120
5.0506e+09	-51.727	-51.727	0.20645	0.61796	0.18613	0.40885	-51.727	-120
5.0592e+09	-49.668	-49.668	0.20072	0.65345	0.18165	0.41672	-49.668	-120
5.0678e+09	-48.034	-48.034	0.21406	0.70999	0.19584	0.49821	-48.034	-120
5.0764e+09	-46.353	-46.353	0.23857	0.73659	0.21859	0.5283	-46.353	-120
5.085e+09	-46.091	-46.091	0.23499	0.78441	0.21647	0.56108	-46.091	-120
5.0936e+09	-46.574	-46.574	0.20386	0.69886	0.18387	0.49819	-46.574	-120
5.1022e+09	-46.776	-46.776	0.19628	0.67813	0.17295	0.43979	-46.776	-120
5.1108e+09	-46.686	-46.686	0.20925	0.68794	0.18853	0.50213	-46.686	-120
5.1193e+09	-46.478	-46.478	0.19641	0.62254	0.17658	0.41314	-46.478	-120
5.1279e+09	-46.868	-46.868	0.19316	0.64479	0.17693	0.43752	-46.868	-120
5.1365e+09	-47.544	-47.544	0.21134	0.6698	0.19354	0.51002	-47.544	-120
5.1451e+09	-47.347	-47.347	0.21329	0.67397	0.20082	0.48234	-47.347	-120
5.1537e+09	-47.435	-47.435	0.20288	0.70972	0.18353	0.46297	-47.435	-120
5.1623e+09	-47.706	-47.706	0.21266	0.71206	0.19302	0.50772	-47.706	-120
5.1709e+09	-48.491	-48.491	0.19815	0.69659	0.17878	0.50509	-48.491	-120
5.1794e+09	-49.668	-49.668	0.19105	0.77193	0.16695	0.51007	-49.668	-120
5.188e+09	-51.229	-51.229	0.20649	0.68397	0.1849	0.49078	-51.229	-120
5.1966e+09	-52.1	-52.1	0.19653	0.67168	0.18349	0.3819	-52.1	-120
5.2052e+09	-51.549	-51.549	0.18688	0.67858	0.1629	0.43984	-51.549	-120
5.2138e+09	-51.374	-51.374	0.20162	0.62523	0.18114	0.44368	-51.374	-120
5.2224e+09	-50.639	-50.639	0.19313	0.65325	0.16998	0.44449	-50.639	-120
5.231e+09	-49.507	-49.507	0.17533	0.67218	0.16121	0.36532	-49.507	-120
5.2396e+09	-48.986	-48.986	0.18104	0.60282	0.16123	0.34312	-48.986	-120
5.2482e+09	-48.967	-48.967	0.19926	0.69476	0.1791	0.45587	-48.967	-120
5.2567e+09	-49.579	-49.579	0.19231	0.64108	0.16944	0.40665	-49.579	-120
5.2653e+09	-49.567	-49.567	0.19272	0.67112	0.17202	0.39065	-49.567	-120
